Experiment,Source_Domain,Test_Domain,Trial_Number,mAP,Epochs_In_Order,Completed,Number_Epochs_Completed,Is_Rerun,Rerun_Title
Baseline,EM,EM,0,0.9341008868823456,True,True,300,False,DNE
Baseline,EM,EM,1,0.927790295255618,True,True,300,False,DNE
Baseline,EM,EM,2,0.954234672259856,True,True,300,False,DNE
Baseline,EM,EM,3,0.960329541734704,True,True,300,False,DNE
Baseline,EM,EM,4,0.930861782511852,True,True,300,False,DNE
Baseline,EM,NW,0,0.8873231981023391,True,True,300,False,DNE
Baseline,EM,NW,1,0.9057913057074352,True,True,300,False,DNE
Baseline,EM,NW,2,0.8980269074152692,True,True,300,False,DNE
Baseline,EM,NW,3,0.9058779412093244,True,True,300,False,DNE
Baseline,EM,NW,4,0.8763128812129513,True,True,300,False,DNE
Baseline,EM,SW,0,0.601730119166589,True,True,300,False,DNE
Baseline,EM,SW,1,0.671224655097973,True,True,300,False,DNE
Baseline,EM,SW,2,0.658568446067326,True,True,300,True,Baseline_EM_SW_0
Baseline,EM,SW,3,0.6399859799005883,True,True,300,False,DNE
Baseline,EM,SW,4,0.6643284525968407,True,True,300,False,DNE
Baseline,NW,EM,0,0.900658898270106,True,True,300,False,DNE
Baseline,NW,EM,1,0.9263166153363104,True,True,300,False,DNE
Baseline,NW,EM,2,0.9426260979275564,True,True,300,False,DNE
Baseline,NW,EM,3,0.8899705290618425,True,True,300,False,DNE
Baseline,NW,EM,4,0.86867240572724,True,True,300,False,DNE
Baseline,NW,NW,0,0.975148416022547,True,True,300,False,DNE
Baseline,NW,NW,1,0.953439794968013,True,True,300,False,DNE
Baseline,NW,NW,2,0.964752420630756,True,True,300,False,DNE
Baseline,NW,NW,3,0.9610266702584094,True,True,300,False,DNE
Baseline,NW,NW,4,0.950103689483214,True,True,300,False,DNE
Baseline,NW,SW,0,0.7208103893408266,True,True,300,False,DNE
Baseline,NW,SW,1,0.7718178985388772,True,True,300,False,DNE
Baseline,NW,SW,2,0.7620152488605656,True,True,300,False,DNE
Baseline,NW,SW,3,0.7244989986557757,True,True,300,False,DNE
Baseline,NW,SW,4,0.7188455886432803,True,True,300,False,DNE
Baseline,SW,EM,0,0.7314082642270116,True,True,300,False,DNE
Baseline,SW,EM,1,0.7145636870579166,True,True,300,False,DNE
Baseline,SW,EM,2,0.7675988176479605,True,True,300,False,DNE
Baseline,SW,EM,3,0.7874568517943705,True,True,300,False,DNE
Baseline,SW,EM,4,0.7101444397147287,True,True,300,False,DNE
Baseline,SW,NW,0,0.807643895239778,True,True,300,False,DNE
Baseline,SW,NW,1,0.8098603669689626,True,True,300,False,DNE
Baseline,SW,NW,2,0.8073514318949814,True,True,300,False,DNE
Baseline,SW,NW,3,0.8342608392244486,True,True,300,False,DNE
Baseline,SW,NW,4,0.8345891113683069,True,True,300,False,DNE
Baseline,SW,SW,0,0.7982243426272155,True,True,300,False,DNE
Baseline,SW,SW,1,0.7887142068132946,True,True,300,False,DNE
Baseline,SW,SW,2,0.8394201198113374,True,True,300,False,DNE
Baseline,SW,SW,3,0.7840241880525249,True,True,300,False,DNE
Baseline,SW,SW,4,0.8041140148232901,True,True,300,False,DNE
Upper_Bound,EM,EM,0,0.922991765270201,True,True,300,False,DNE
Upper_Bound,EM,EM,1,0.9723588681416288,True,True,300,False,DNE
Upper_Bound,EM,EM,2,0.9625350246720225,True,True,300,False,DNE
Upper_Bound,EM,EM,3,0.9776482939122336,True,True,300,False,DNE
Upper_Bound,EM,EM,4,0.9519516155260324,True,True,300,False,DNE
Upper_Bound,EM,NW,0,0.956290740912152,True,True,300,False,DNE
Upper_Bound,EM,NW,1,0.9661801942006588,True,True,300,False,DNE
Upper_Bound,EM,NW,2,0.9616521667320828,True,True,300,False,DNE
Upper_Bound,EM,NW,3,0.9689645325547231,True,True,300,False,DNE
Upper_Bound,EM,NW,4,0.9673785178788672,True,True,300,False,DNE
Upper_Bound,EM,SW,0,0.8983650412574308,True,True,300,False,DNE
Upper_Bound,EM,SW,1,0.9246990229850152,True,True,300,False,DNE
Upper_Bound,EM,SW,2,0.8993217364110653,True,True,300,False,DNE
Upper_Bound,EM,SW,3,0.8892157194552498,True,True,300,False,DNE
Upper_Bound,EM,SW,4,0.8902270909339988,True,True,300,False,DNE
Upper_Bound,NW,EM,0,0.9695550226140704,True,True,300,False,DNE
Upper_Bound,NW,EM,1,0.9797376173641564,True,True,300,False,DNE
Upper_Bound,NW,EM,2,0.989884425054614,True,True,300,False,DNE
Upper_Bound,NW,EM,3,0.9874746806725752,True,True,300,False,DNE
Upper_Bound,NW,EM,4,0.949348809440985,True,True,300,False,DNE
Upper_Bound,NW,NW,0,0.9657147607678735,True,True,300,False,DNE
Upper_Bound,NW,NW,1,0.9824715694584514,True,True,300,False,DNE
Upper_Bound,NW,NW,2,0.9612404665819302,True,True,300,False,DNE
Upper_Bound,NW,NW,3,0.9763892852929807,True,True,300,False,DNE
Upper_Bound,NW,NW,4,0.9728472761678386,True,True,300,False,DNE
Upper_Bound,NW,SW,0,0.8513196946629982,True,True,300,False,DNE
Upper_Bound,NW,SW,1,0.8404679728797105,True,True,300,False,DNE
Upper_Bound,NW,SW,2,0.8729218740757538,True,True,300,False,DNE
Upper_Bound,NW,SW,3,0.8511285937790827,True,True,300,False,DNE
Upper_Bound,NW,SW,4,0.8651224565047355,True,True,300,False,DNE
Upper_Bound,SW,EM,0,0.9743711385836386,True,True,300,False,DNE
Upper_Bound,SW,EM,1,0.9544353081182714,True,True,300,False,DNE
Upper_Bound,SW,EM,2,0.9275209746462778,True,True,300,False,DNE
Upper_Bound,SW,EM,3,0.9681426911961042,True,True,300,False,DNE
Upper_Bound,SW,EM,4,0.961197508544845,True,True,300,False,DNE
Upper_Bound,SW,NW,0,0.9311552960499692,True,True,300,False,DNE
Upper_Bound,SW,NW,1,0.9379275720066562,True,True,300,False,DNE
Upper_Bound,SW,NW,2,0.9330545124853976,True,True,300,False,DNE
Upper_Bound,SW,NW,3,0.96161730064522,True,True,300,False,DNE
Upper_Bound,SW,NW,4,0.9212836958043154,True,True,300,False,DNE
Upper_Bound,SW,SW,0,0.8818367039265416,True,True,300,False,DNE
Upper_Bound,SW,SW,1,0.8645543496632558,True,True,300,False,DNE
Upper_Bound,SW,SW,2,0.8889706499768257,True,True,300,False,DNE
Upper_Bound,SW,SW,3,0.9111937204195448,True,True,300,False,DNE
Upper_Bound,SW,SW,4,0.8903307546515165,True,True,300,False,DNE
Cycada,EM,EM,0,0.9462719593780268,True,True,300,False,DNE
Cycada,EM,EM,1,0.9523430034390882,True,True,300,False,DNE
Cycada,EM,EM,2,0.9060868524436958,True,True,300,False,DNE
Cycada,EM,EM,3,0.9394888346770816,True,True,300,False,DNE
Cycada,EM,EM,4,0.9398977373093772,True,True,300,False,DNE
Cycada,EM,NW,0,0.8496496569069552,True,True,300,False,DNE
Cycada,EM,NW,1,0.8267966240739077,True,True,300,False,DNE
